PMID,Title,Abstract,Journal,Language,Year,Month,Day,Authors,Keywords,DOI
33400058,Recent Developments on Therapeutic and Diagnostic Approaches for COVID-19.,"The ongoing pandemic of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has made a serious public health threat worldwide with millions of people at risk in a growing number of countries. Though there are no clinically approved antiviral drugs and vaccines for COVID-19, attempts are ongoing for clinical trials of several known antiviral drugs, their combination, as well as development of vaccines in patients with confirmed COVID-19. This review focuses on the latest approaches to diagnostics and therapy of COVID-19. We have summarized recent progress on the conventional therapeutics such as antiviral drugs, vaccines, anti-SARS-CoV-2 antibody treatments, and convalescent plasma therapy which are currently under extensive research and clinical trials for the treatment of COVID-19. The developments of nanoparticle-based therapeutic and diagnostic approaches have been also discussed for COVID-19. We have assessed recent literature data on this topic and made a summary of current development and future perspectives.",The AAPS journal,eng,2021,01,05,Majumder Joydeb; Minko Tamara,ARDS; anti-SARS-CoV-2 antibody; antiviral drugs; antiviral vaccines; convalescent plasma therapy; immunotherapy; nanotherapeutics,10.1208/s12248-020-00532-2
33126180,COVID-19 diagnosis -A review of current methods.,"A fast and accurate self-testing tool for COVID-19 diagnosis has become a prerequisite to comprehend the exact number of cases worldwide and to take medical and governmental actions accordingly. SARS-CoV-2 (formerly, 2019-nCoV) infection was first reported in Wuhan (China) in December 2019, and then it has rapidly spread around the world, causing <sub>~</sub>14 million active cases with <sub>~</sub>582,000 deaths as of July 2020. The diagnosis tools available so far have been based on a) viral gene detection, b) human antibody detection, and c) viral antigen detection, among which the viral gene detection by RT-PCR has been found as the most reliable technique. In this report, the current SARS-CoV-2 detection kits, exclusively the ones that were issued an ""Emergency Use Authorization"" from the U.S. Food and Drug Administration, were discussed. The key structural components of the virus were presented to provide the audience with an understanding of the scientific principles behind the testing tools. The methods that are still in the early research state were also reviewed in a subsection based on the reports available so far.",Biosensors & bioelectronics,eng,2021,01,15,Yüce Meral; Filiztekin Elif; Özkaya Korin Gasia,COVID-19; Lateral flow assay; Loop-mediated isothermal amplification; Point of care devices; RT-PCR; SARS-CoV-2 detection; SARS-CoV-2 diagnosis,10.1016/j.bios.2020.112752
33664170,"COVID-19 pandemic: from origins to outcomes. A comprehensive review of viral pathogenesis, clinical manifestations, diagnostic evaluation, and management.","Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2), the causative pathogen for the COVID-19, first emerged in Wuhan, China, in December 2019 and by March 2020, it was declared a pandemic. COVID-19 pandemic has overburdened healthcare systems in most countries and has led to massive economic losses. SARS-CoV-2 transmission typically occurs by respiratory droplets. The average incubation period is 6.4 days and presenting symptoms typically include fever, cough, dyspnea, myalgia or fatigue. While the majority of patients tend to have a mild illness, a minority of patients develop severe hypoxia requiring hospitalization and mechanical ventilation. Management is mostly supportive. However, several direct anti-viral agents, and immunomodulatory therapy with steroids and various cytokine blockers seem promising in early results. However, an effective vaccine has been established, which will help curb the pandemic.",Le infezioni in medicina,eng,2021,03,01,Ochani RohanKumar; Asad Ameema; Yasmin Farah; Shaikh Shehryar; Khalid Hiba; Batra Simran; Sohail Muhammad Rizwan; Mahmood Syed Faisal; Ochani Rajkumar; Hussham Arshad Mohammad; Kumar Arjan; Surani Salim,No Keywords,No DOI
32749914,Resolution of coronavirus disease 2019 (COVID-19).,"Coronavirus disease 2019 (COVID-19) was first detected in China in December, 2019, and declared as a pandemic by the World Health Organization (WHO) on March 11, 2020. The current management of COVID-19 is based generally on supportive therapy and treatment to prevent respiratory failure. The effective option of antiviral therapy and vaccination are currently under evaluation and development. A literature search was performed using PubMed between December 1, 2019-June 23, 2020. This review highlights the current state of knowledge on the viral replication and pathogenicity, diagnostic and therapeutic strategies, and management of COVID-19. This review will be of interest to scientists and clinicians and make a significant contribution toward development of vaccines and targeted therapies to contain the pandemic. The exit strategy for a path back to normal life is required, which should involve a multi-prong effort toward development of new treatment and a successful vaccine to protect public health worldwide and prevent future COVID-19 outbreaks. Therefore, the bench to bedside translational research as well as reverse translational works focusing bedside to bench is very important and would provide the foundation for the development of targeted drugs and vaccines for COVID-19 infections.",Expert review of anti-infective therapy,eng,2020,12,,Habas Khaled; Nganwuchu Chioma; Shahzad Fanila; Gopalan Rajendran; Haque Mainul; Rahman Sayeeda; Majumder Anwarul Azim; Nasim Talat,COVID-19; SARS-CoV-2; diagnosis; severe acute respiratory syndrome coronavirus-2; treatment,10.1080/14787210.2020.1797487
35619009,COVID-19 diagnostic methods in developing countries.,"COVID-19 has become one of the few leading causes of death and has evolved into a pandemic that disrupts everyone's routine, and balanced way of life worldwide, and will continue to do so. To bring an end to this pandemic, scientists had put their all effort into discovering the vaccine for SARS-CoV-2 infection. For their dedication, now, we have a handful of COVID-19 vaccines. Worldwide, millions of people are at risk due to the current pandemic of coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2). Despite the lack of clinically authorized antiviral medications and vaccines for COVID-19, clinical trials of many recognized antiviral agents, their combination, and vaccine development in patients with confirmed COVID-19 are still ongoing. This discovery gave us a chance to get immune to this disease worldwide and end the pandemic. However, the unexpected capacity of mutation of the SARS-CoV-2 virus makes it difficult, like the recent SAS-CoV-2 Omicron variant. Therefore, there is a great necessity to spread the vaccination programs and prevent the spread of this dreadful epidemic by identifying and isolating afflicted patients. Furthermore, several COVID-19 tests are thought to be expensive, time-consuming, and require the use of adequately qualified persons to be carried out efficiently. In addition, we also conversed about how the various COVID-19 testing methods can be implemented for the first time in a developing country and their cost-effectiveness, accuracy, human resources requirements, and laboratory facilities.",Environmental science and pollution research international,eng,2022,07,,Maniruzzaman Md; Islam Md Missile; Ali Md Hazrat; Mukerjee Nobendu; Maitra Swastika; Kamal Mohammad Amjad; Ghosh Arabinda; Castrosanto Melvin A; Alexiou Athanasios; Ashraf Ghulam Md; Tagde Priti; Rahman Md Habibur,Antigen; Coronavirus; ELIZA; Immunity; RT-PCR; SARS-CoV-2; SHERLOCK; Viral invasion,10.1007/s11356-022-21041-z
33980687,Tools and Techniques for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)/COVID-19 Detection.,"The coronavirus disease 2019 (COVID-19) pandemic, caused by severe acute respiratory disease coronavirus 2 (SARS-CoV-2), has led to millions of confirmed cases and deaths worldwide. Efficient diagnostic tools are in high demand, as rapid and large-scale testing plays a pivotal role in patient management and decelerating disease spread. This paper reviews current technologies used to detect SARS-CoV-2 in clinical laboratories as well as advances made for molecular, antigen-based, and immunological point-of-care testing, including recent developments in sensor and biosensor devices. The importance of the timing and type of specimen collection is discussed, along with factors such as disease prevalence, setting, and methods. Details of the mechanisms of action of the various methodologies are presented, along with their application span and known performance characteristics. Diagnostic imaging techniques and biomarkers are also covered, with an emphasis on their use for assessing COVID-19 or monitoring disease severity or complications. While the SARS-CoV-2 literature is rapidly evolving, this review highlights topics of interest that have occurred during the pandemic and the lessons learned throughout. Exploring a broad armamentarium of techniques for detecting SARS-CoV-2 will ensure continued diagnostic support for clinicians, public health, and infection prevention and control for this pandemic and provide advice for future pandemic preparedness.",Clinical microbiology reviews,eng,2021,06,16,Safiabadi Tali Seyed Hamid; LeBlanc Jason J; Sadiq Zubi; Oyewunmi Oyejide Damilola; Camargo Carolina; Nikpour Bahareh; Armanfard Narges; Sagan Selena M; Jahanshahi-Anbuhi Sana,2019-nCoV; COVID-19; NAAT; PCR; SARS-CoV-2; antigen; biomarkers; coronavirus; next-generation sequencing; serology,10.1128/CMR.00228-20
33522478,"Postvaccination COVID-19 among Healthcare Workers, Israel.","Coronavirus disease (COVID-19) symptoms can be mistaken for vaccine-related side effects during initial days after immunization. Among 4,081 vaccinated healthcare workers in Israel, 22 (0.54%) developed COVID-19 from 1-10 days (median 3.5 days) after immunization. Clinicians should not dismiss postvaccination symptoms as vaccine-related and should promptly test for COVID-19.",Emerging infectious diseases,eng,2021,04,,Amit Sharon; Beni Sharon Alexsandra; Biber Asaf; Grinberg Amir; Leshem Eyal; Regev-Yochay Gili,COVID-19; Israel; SARS; SARS-CoV-2; coronavirus; coronavirus disease; healthcare workers; respiratory infections; severe acute respiratory syndrome coronavirus 2; vaccination; vaccines; viruses; zoonoses,10.3201/eid2704.210016
34062874,Point-of-Care PCR Assays for COVID-19 Detection.,"Molecular diagnostics has been the front runner in the world's response to the COVID-19 pandemic. Particularly, reverse transcriptase-polymerase chain reaction (RT-PCR) and the quantitative variant (qRT-PCR) have been the gold standard for COVID-19 diagnosis. However, faster antigen tests and other point-of-care (POC) devices have also played a significant role in containing the spread of SARS-CoV-2 by facilitating mass screening and delivering results in less time. Thus, despite the higher sensitivity and specificity of the RT-PCR assays, the impact of POC tests cannot be ignored. As a consequence, there has been an increased interest in the development of miniaturized, high-throughput, and automated PCR systems, many of which can be used at point-of-care. This review summarizes the recent advances in the development of miniaturized PCR systems with an emphasis on COVID-19 detection. The distinct features of digital PCR and electrochemical PCR are detailed along with the challenges. The potential of CRISPR/Cas technology for POC diagnostics is also highlighted. Commercial RT-PCR POC systems approved by various agencies for COVID-19 detection are discussed.",Biosensors,eng,2021,05,01,Gupta Niharika; Augustine Shine; Narayan Tarun; O'Riordan Alan; Das Asmita; Kumar D; Luong John H T; Malhotra Bansi D,COVID-19; digital PCR; electrochemical; point-of-care; polymerase chain reaction,10.3390/bios11050141
34355645,COVID-19: clinical presentation and detection methods.,"The unending outburst of COVID-19 has reinforced the necessity of SARS-CoV-2 identification approaches for the prevention of infection transmission and the proper care of severe and critical patients. As there is no cure, a prompt and reliable diagnosis of SARS-CoV2 is vital to counter the spread and to provide adequate care and treatment for the infection. Currently, RT-PCR is a gold standard detection method for the qualitative and quantitative detection of viral nucleic acids. Besides, enzyme-linked immunosorbent assay is also a primarily used method for qualitative estimation of viral load. However, almost all the detection methods have their pros and cons in terms of specificity, accuracy, sensitivity, cost, time consumption, the need for sophisticated laboratories, and the requirement of skilled technical experts to carry out the detection tests. Thus, it is suggested to integrate different techniques to enhance the detection efficiency and accurateness for SARS-CoV2. This review focuses on preliminary, pre-confirmatory, and confirmatory methods of detection such as imaging techniques (chest-X-ray and chest- computed tomography), nucleic acid detection methods, serological assay methods, and viral culture and identification methods that are currently being employed to detect the presence of SARS-CoV-2 infection along with recent detection method and applicability for COVID-19.",Journal of immunoassay & immunochemistry,eng,2022,01,02,Pradhan Madhulika; Shah Kamal; Alexander Amit; Ajazuddin; Minz Sunita; Singh Manju Rawat; Singh Deependra; Yadav Krishna; Chauhan Nagendra Singh,COVID-19; ELISA; corona; serological assay; viral culture,10.1080/15321819.2021.1951291
33394144,Detection technologies and recent developments in the diagnosis of COVID-19 infection.,"COVID-19 is a disease caused by SARS-CoV-2 capable of causing mild to severe infections in humans. Since its first appearance in China in December 2019, the pandemic has spread rapidly throughout the world. Despite considerable efforts made to contain the disease, the virus has continued its prevalence in many countries with varying degrees of clinical manifestations. To contain this pandemic, collaborative approach involving accurate diagnosis, epidemiology, surveillance, and prophylaxis is essential. However, proper diagnosis using rapid technologies plays a crucial role. With increasing incidence of COVID-19 cases, the accurate and early detection of the SARS-CoV-2 is need of the hour for effective prevention and management of COVID-19 cases as well as to curb its spread. RT-qPCR assay is considered to be the gold standard for the early detection of virus, but this protocol has limited application to use as bedside test because of its technical complexity. To address these challenges, several POC assays have been developed to facilitate the COVID-19 diagnosis outside the centralized testing laboratories as well to accelerate the clinical decision making with a least turnaround time. Hence, in this report, we review different nucleic acid-based and serological techniques available for the diagnosis and effective prevention of COVID-19. KEY POINTS : • Provides comprehensive information on the different diagnostic tools available for COVID-19 • Nucleic acid based tests or antigen detection tests are used for diagnostic purpose • Accurate diagnosis is essential for the efficient management of COVID-19.",Applied microbiology and biotechnology,eng,2021,01,,Rai Praveen; Kumar Ballamoole Krishna; Deekshit Vijaya Kumar; Karunasagar Indrani; Karunasagar Iddya,COVID-19; Diagnosis; RT-LAMP; RT-qPCR; SARS-CoV-2; Serology,10.1007/s00253-020-11061-5
